"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Cl_Diss_Water","DMS_Tot_Water","EC_Phys_Water","F_Diss_Water","K_Diss_Water","Mg_Diss_Water","Na_Diss_Water","NH4_N_Diss_Water","NO3_NO2_N_Diss_Water","P_Tot_Water","pH_Diss_Water","PO4_P_Diss_Water","Si_Diss_Water","SO4_Diss_Water","TAL_Diss_Water","Station","Qat"
102620,1980-07-14 16:00:00,0,"DWS-RQIS","NONE",12,26.3,148,22.4,0.1,0.54,5.8,22.4,0.02,0.09,#n/a,6.79,0.008,5.62,12.7,55.5,"U1H006Q01","U10M"
102620,1980-07-21 16:00:00,0,"DWS-RQIS","NONE",11.9,25.3,146,22.3,0.05,2.35,5.9,22,0.02,0.02,#n/a,6.88,0.003,5.07,11.9,54.5,"U1H006Q01","U10M"
102620,1980-07-28 16:00:00,0,"DWS-RQIS","NONE",12,27.9,151,23.6,0.1,0.74,5.9,23.7,0.02,0.02,#n/a,6.79,0.003,5.42,13,55.4,"U1H006Q01","U10M"
102620,1980-08-04 16:00:00,0,"DWS-RQIS","NONE",12.3,30.1,158,26.6,0.28,1.2,6.1,24.1,0.05,0.05,#n/a,6.68,0.003,5.53,12.6,58.3,"U1H006Q01","U10M"
102620,1980-08-11 16:00:00,0,"DWS-RQIS","NONE",13.4,31.5,161,25.6,0.19,0.81,5.8,25.4,0.02,0.02,#n/a,4.8,0.003,5.35,12.5,58.2,"U1H006Q01","U10M"
102620,1980-08-18 16:00:00,0,"DWS-RQIS","NONE",14,33.9,170,26.8,0.15,0.74,6.1,27,0.06,0.02,#n/a,4.3,0.003,5.16,13,61.2,"U1H006Q01","U10M"
102620,1980-08-25 16:00:00,0,"DWS-RQIS","NONE",15.1,35.8,177,28.1,0.25,0.87,6.6,28.7,0.06,0.02,#n/a,4.22,0.003,5.16,13.5,62.2,"U1H006Q01","U10M"
102620,1980-09-18 16:00:00,0,"DWS-RQIS","NONE",14.4,31,161,26.3,0.21,1.52,7.2,24.5,0.02,0.02,#n/a,6.9,0.008,7.39,14.8,55.4,"U1H006Q01","U10M"
102620,1980-09-22 15:00:00,0,"DWS-RQIS","NONE",14.4,34.1,165,27.6,0.17,1.64,7.4,27.1,0.04,0.02,#n/a,6.9,0.003,6.68,15.3,53.3,"U1H006Q01","U10M"
102620,1980-09-29 16:00:00,0,"DWS-RQIS","NONE",14.2,35.7,167,27.7,0.16,1.33,6.9,28.7,0.04,0.02,#n/a,6.9,0.003,5.88,15.7,52.3,"U1H006Q01","U10M"
102620,1980-10-06 16:00:00,0,"DWS-RQIS","NONE",5,7.1,54,8.5,0.12,0.71,2.1,6.9,0.04,0.02,#n/a,6.5,0.003,5.97,5.2,22.4,"U1H006Q01","U10M"
102620,1980-12-15 16:00:00,0,"DWS-RQIS","NONE",6.6,9.3,69,10,0.05,0.99,3.3,8.1,0.08,0.02,#n/a,5.56,0.006,6.91,5.9,28.1,"U1H006Q01","U10M"
102620,1980-12-22 17:00:00,0,"DWS-RQIS","NONE",4.1,4.4,47,6.7,0.12,0.67,2,5.3,0.08,0.02,#n/a,5.53,0.009,6.34,6.1,19.5,"U1H006Q01","U10M"
102620,1980-12-29 16:00:00,0,"DWS-RQIS","NONE",5.8,6.8,62,9,0.05,0.67,2.6,9.2,0.08,0.02,#n/a,5.53,0.007,7.01,4.9,25.9,"U1H006Q01","U10M"
102620,1981-01-05 16:00:00,0,"DWS-RQIS","NONE",5.2,7.7,60,9.1,0.05,1.15,3.8,9.6,0.06,0.07,#n/a,5.88,0.021,6.36,4.9,22.7,"U1H006Q01","U10M"
102620,1981-02-09 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,6.7,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1981-02-16 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,5.7,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1981-02-23 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,6.8,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1981-03-02 16:00:00,0,"DWS-RQIS","NONE",3.5,4.6,48,5,0.05,1.49,1.9,3.4,0.05,0.1,#n/a,5.55,0.046,5.38,2,24.7,"U1H006Q01","U10M"
102620,1981-04-20 16:00:00,0,"DWS-RQIS","NONE",8.2,9.4,82,13.6,0.29,0.72,4.2,11.1,0.02,0.02,#n/a,6.82,0.011,6.87,2,37.8,"U1H006Q01","U10M"
102620,1981-04-27 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,10.8,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1981-05-04 08:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,11.4,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1981-05-11 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,12.9,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
